"","Tank","trophic.level","species","size","week","temp.wk","temp.Tmn","temp.Tsd","Tankn","invTi","invTT"
"1","2","PZN","cyclopoid",0.357,4,20.07275,19.5672879464286,3.47573326338724,5,39.5959923082024,39.6644014311969
"2","2","PZN","cyclopoid",0.612,5,21.3747678571429,19.5672879464286,3.47573326338724,5,39.420859468415,39.6644014311969
"3","2","PZN","cyclopoid",0.646,5,21.3747678571429,19.5672879464286,3.47573326338724,5,39.420859468415,39.6644014311969
"4","2","PZN","cyclopoid",0.408,5,21.3747678571429,19.5672879464286,3.47573326338724,5,39.420859468415,39.6644014311969
"5","2","PZN","cyclopoid",0.51,5,21.3747678571429,19.5672879464286,3.47573326338724,5,39.420859468415,39.6644014311969
"6","2","PZN","cyclopoid",0.697,5,21.3747678571429,19.5672879464286,3.47573326338724,5,39.420859468415,39.6644014311969
"7","2","PZN","cyclopoid",0.612,5,21.3747678571429,19.5672879464286,3.47573326338724,5,39.420859468415,39.6644014311969
"8","2","PZN","cyclopoid",0.442,5,21.3747678571429,19.5672879464286,3.47573326338724,5,39.420859468415,39.6644014311969
"9","2","PZN","cyclopoid",0.544,5,21.3747678571429,19.5672879464286,3.47573326338724,5,39.420859468415,39.6644014311969
"10","2","PZN","cyclopoid",0.493,5,21.3747678571429,19.5672879464286,3.47573326338724,5,39.420859468415,39.6644014311969
"11","2","PZN","cyclopoid",0.425,5,21.3747678571429,19.5672879464286,3.47573326338724,5,39.420859468415,39.6644014311969
"12","2","PZN","cyclopoid",0.561,6,19.3002916666667,19.5672879464286,3.47573326338724,5,39.7006321429787,39.6644014311969
"13","2","PZN","cyclopoid",0.646,6,19.3002916666667,19.5672879464286,3.47573326338724,5,39.7006321429787,39.6644014311969
"14","2","PZN","cyclopoid",0.765,6,19.3002916666667,19.5672879464286,3.47573326338724,5,39.7006321429787,39.6644014311969
"15","2","PZN","cyclopoid",0.544,6,19.3002916666667,19.5672879464286,3.47573326338724,5,39.7006321429787,39.6644014311969
"16","2","PZN","cyclopoid",0.459,6,19.3002916666667,19.5672879464286,3.47573326338724,5,39.7006321429787,39.6644014311969
"17","2","PZN","cyclopoid",0.476,6,19.3002916666667,19.5672879464286,3.47573326338724,5,39.7006321429787,39.6644014311969
"18","2","PZN","cyclopoid",0.476,6,19.3002916666667,19.5672879464286,3.47573326338724,5,39.7006321429787,39.6644014311969
"19","2","PZN","cyclopoid",0.493,6,19.3002916666667,19.5672879464286,3.47573326338724,5,39.7006321429787,39.6644014311969
"20","2","PZN","cyclopoid",0.51,6,19.3002916666667,19.5672879464286,3.47573326338724,5,39.7006321429787,39.6644014311969
"21","2","PZN","cyclopoid",0.646,6,19.3002916666667,19.5672879464286,3.47573326338724,5,39.7006321429787,39.6644014311969
"22","2","PZN","cyclopoid",0.578,6,19.3002916666667,19.5672879464286,3.47573326338724,5,39.7006321429787,39.6644014311969
"23","2","PZN","cyclopoid",0.629,8,16.4195595238095,19.5672879464286,3.47573326338724,5,40.0957916383984,39.6644014311969
"24","2","PZN","cyclopoid",0.442,8,16.4195595238095,19.5672879464286,3.47573326338724,5,40.0957916383984,39.6644014311969
"25","2","PZN","cyclopoid",0.442,8,16.4195595238095,19.5672879464286,3.47573326338724,5,40.0957916383984,39.6644014311969
"26","2","PZN","cyclopoid",0.425,8,16.4195595238095,19.5672879464286,3.47573326338724,5,40.0957916383984,39.6644014311969
"27","2","PZN","cyclopoid",0.493,8,16.4195595238095,19.5672879464286,3.47573326338724,5,40.0957916383984,39.6644014311969
"28","2","PZN","cyclopoid",0.408,8,16.4195595238095,19.5672879464286,3.47573326338724,5,40.0957916383984,39.6644014311969
"29","2","PZN","cyclopoid",0.595,8,16.4195595238095,19.5672879464286,3.47573326338724,5,40.0957916383984,39.6644014311969
"30","2","PZN","cyclopoid",0.646,8,16.4195595238095,19.5672879464286,3.47573326338724,5,40.0957916383984,39.6644014311969
"31","2","PZN","cyclopoid",0.646,8,16.4195595238095,19.5672879464286,3.47573326338724,5,40.0957916383984,39.6644014311969
"32","2","PZN","cyclopoid",0.595,9,15.9660654761905,19.5672879464286,3.47573326338724,5,40.1587166839834,39.6644014311969
"33","2","PZN","cyclopoid",0.578,9,15.9660654761905,19.5672879464286,3.47573326338724,5,40.1587166839834,39.6644014311969
"34","2","PZN","cyclopoid",0.51,9,15.9660654761905,19.5672879464286,3.47573326338724,5,40.1587166839834,39.6644014311969
"35","2","PZN","cyclopoid",0.493,9,15.9660654761905,19.5672879464286,3.47573326338724,5,40.1587166839834,39.6644014311969
"36","2","PZN","Daphnia",0.765,9,15.9660654761905,19.5672879464286,3.47573326338724,5,40.1587166839834,39.6644014311969
"37","2","PZN","Daphnia",1.037,9,15.9660654761905,19.5672879464286,3.47573326338724,5,40.1587166839834,39.6644014311969
"38","2","PZN","Daphnia",1.904,9,15.9660654761905,19.5672879464286,3.47573326338724,5,40.1587166839834,39.6644014311969
"39","4","PZN","cyclopoid",0.476,6,21.7952916666667,22.0622879464286,3.47573326338724,6,39.3646258362405,39.3290055313698
"40","4","PZN","cyclopoid",0.527,6,21.7952916666667,22.0622879464286,3.47573326338724,6,39.3646258362405,39.3290055313698
"41","4","PZN","cyclopoid",0.663,8,18.9145595238095,22.0622879464286,3.47573326338724,6,39.7530920474599,39.3290055313698
"42","4","PZN","cyclopoid",0.425,8,18.9145595238095,22.0622879464286,3.47573326338724,6,39.7530920474599,39.3290055313698
"43","4","PZN","cyclopoid",0.646,8,18.9145595238095,22.0622879464286,3.47573326338724,6,39.7530920474599,39.3290055313698
