"","tank","week","Mb","mba","mba1","pp.N","AvgS","CMb","Cmba","Cmba1","C.N","CAvgS","OMb","Omba","Omba1","O.N","OAvgS","CNMb","CNmba","CNmba1","CN.N","CN.AvgS","FNMb","FNmba","FNmba1","FN.N","FN.AvgS"
"12",3,1,30891.0813440623,32.4231317877324,109.989010368856,226,136.686200637444,27353.5389751172,30.2720516462922,107.058540656422,214,127.82027558466,3537.54236894508,70.7840609767508,2.93046971243342,12,294.79519741209,NA,NA,NA,NA,NA,30891.0813440623,32.4231317877324,109.989010368856,226,136.686200637444
"13",3,2,171937.01991645,80.0867630213223,115.542596093183,497,345.949738262474,71099.1846738668,90.8838108531336,38.7008412263953,174,408.616003872797,100837.835242583,74.2703966970648,76.8417548667877,323,312.191440379513,NA,NA,NA,NA,NA,171937.01991645,80.0867630213223,115.542596093183,497,345.949738262474
"14",3,6,101753.528579031,79.2603393089047,71.3717252879995,296,343.761920875103,56391.7425295718,89.6018214928141,33.0486160042486,140,402.798160925513,45361.7860494588,69.9795219643706,38.3231092837509,156,290.780679804223,NA,NA,NA,NA,NA,101753.528579031,79.2603393089047,71.3717252879995,296,343.761920875103
"15",3,7,19362.4452528002,61.8993832255227,24.1695686768424,74,261.654665578381,2402.55281360427,30.2638742077094,10.3065882983128,17,141.326636094369,16959.8924391959,71.334535037853,13.8629803785296,57,297.541972617473,NA,NA,NA,NA,NA,19362.4452528002,61.8993832255227,24.1695686768424,74,261.654665578381
"16",4,0,39364.0497595352,277.863404122473,3.91975963387394,18,2624.26998396902,NA,NA,NA,NA,NA,44679.1436300905,278.819787016195,4.3821660309651,15,2624.26998396902,2426.89036149601,204.394697911894,0.342243599636107,2,1213.445180748,39364.0497595352,278.819787016195,3.91975963387394,15,2624.26998396902
"17",4,1,16430.7081265488,101.798172030005,6.60062540969603,22,746.850369388581,3064.52284789108,75.3676417578996,2.58750701869442,9,340.502538654564,13366.1852786577,120.096231449155,4.01311839100162,13,1028.16809835828,NA,NA,NA,NA,NA,16430.7081265488,101.798172030005,6.60062540969603,22,746.850369388581
"18",4,2,83739.0563437899,90.7088490054962,45.3552946419068,198,422.924526988838,34336.9181458771,89.8959409210371,19.2080592806808,85,403.963742892672,49402.1381979128,91.3203285380539,26.147235361226,113,437.187063698343,17976.1211104206,257.026247180638,1.73008268679436,11,1634.19282822005,83739.0563437899,90.7088490054962,45.3552946419068,198,422.924526988838
"19",4,6,71373.215334825,77.9326776569256,52.5459803238714,201,355.090623556343,37257.8486033014,100.400907312921,19.9760637079087,73,510.381487716457,34115.3667315236,65.1187654312404,32.5699166159627,128,266.526302590028,NA,NA,NA,NA,NA,71373.215334825,77.9326776569256,52.5459803238714,201,355.090623556343
"20",4,7,52412.6098811548,63.1441139249507,58.2227886876062,199,263.379949151532,1935.86722107996,16.0979859656935,16.7188112485358,29,66.7540421062056,50476.7426600749,71.1696298709416,41.5039774390704,170,296.922015647499,NA,NA,NA,NA,NA,52412.6098811548,63.1441139249507,58.2227886876062,199,263.379949151532
"21",5,0,33773.2210936255,519.007834148306,1.32704733543636,7,4824.74587051792,15510.6299772699,574.971435824895,0.418392683388855,3,5170.2099924233,18262.5911163556,477.035132890865,0.908654652047508,4,4565.64777908889,18101.0896753814,927.910401907362,0.205050727563518,2,9050.54483769071,33773.2210936255,519.007834148306,1.32704733543636,7,4824.74587051792
"22",5,1,11483.2020054991,110.517268231723,5.0973387460378,14,820.228714678506,817.398781843498,60.6761984101169,2.00966972864819,3,272.4662606145,10665.8032236556,124.110287273979,3.0876690173896,11,969.61847487778,9050.54483769071,927.910401907362,0.102525363781759,1,9050.54483769071,11483.2020054991,110.517268231723,5.0973387460378,14,820.228714678506
"23",5,2,122660.949075959,82.5293193808935,78.7216184443117,338,362.902216201062,69491.0682994999,89.9074277807127,38.8609558168374,172,404.017838950581,53169.8807764591,74.8845323642134,39.8606626274743,166,320.300486605175,3268.38565644011,257.026247180638,0.314560488508065,2,1634.19282822005,122660.949075959,82.5293193808935,78.7216184443117,338,362.902216201062
"24",5,6,57263.3754609435,77.7283811969497,50.43345316296,155,371.840100395737,17288.5134387353,74.7788839219059,24.709851038384,51,338.990459583045,41746.5599790599,77.2921797655935,25.8777375902731,103,388.105456526293,206.873049540874,32.4343680532964,0.627135687810082,2,103.436524770437,57263.3754609435,76.459854518658,50.43345316296,154,371.840100395737
"25",5,7,241207.893471539,71.9194452458649,198.535990838486,800,301.509866839424,132.87073898707,4.41430031520034,11.2093058565395,18,7.38170772150391,241075.022732552,73.4732721112766,187.326684981946,782,308.280080220655,NA,NA,NA,NA,NA,241207.893471539,71.9194452458649,198.535990838486,800,301.509866839424
"26",6,0,1902.54128993259,36.4166041939949,6.9785824460827,13,146.349329994814,626.334193412254,23.4071207292324,4.90755474930862,6,104.389032235376,1276.20709652033,47.5675900209342,2.07102769677407,7,182.315299502905,NA,NA,NA,NA,NA,1902.54128993259,36.4166041939949,6.9785824460827,13,146.349329994814
"27",6,1,42485.1650923562,146.220306701661,10.9826666677898,36,1180.14347478767,4453.80659665527,74.8987281300986,4.38537146844523,13,342.600507435021,38031.358495701,186.532503285587,6.59729519934454,23,1653.53732590004,36202.1793507628,927.910401907362,0.410101455127036,4,9050.54483769071,42485.1650923562,146.220306701661,10.9826666677898,36,1180.14347478767
"28",6,2,93585.1174505881,85.2530835636545,56.775014467895,248,377.359344558823,64165.8864285914,90.352361839031,35.4446191055478,158,406.113205244249,29419.2310219967,76.3010172579934,21.3303953623472,90,326.880344688853,1634.19282822005,257.026247180638,0.157280244254032,1,1634.19282822005,93585.1174505881,85.2530835636545,56.775014467895,248,377.359344558823
"29",6,6,96200.1727527752,74.4625371205558,74.5155507117497,303,317.49231931609,21617.0991553599,88.6984951427881,13.617070712511,54,400.316651025183,74583.0735974153,71.3752209229633,60.8984799992387,249,299.530416053877,1634.19282822005,257.026247180638,0.157280244254032,1,1634.19282822005,96200.1727527752,74.4625371205558,74.5155507117497,303,317.49231931609
"30",6,7,64150.4891391104,67.5321637162065,61.4064108328756,227,282.601273740574,2424.04318380424,29.2700414235591,10.1687195995197,18,134.669065766902,61726.4459553061,70.8274661146163,51.2376912333559,209,295.341846676106,NA,NA,NA,NA,NA,64150.4891391104,67.5321637162065,61.4064108328756,227,282.601273740574
"31",7,0,10471.6234817517,130.768077524476,2.92703764683237,10,1047.16234817517,NA,NA,NA,NA,NA,10471.6234817517,130.768077524476,2.92703764683237,10,1047.16234817517,9050.54483769071,927.910401907362,0.102525363781759,1,9050.54483769071,10471.6234817517,130.768077524476,2.92703764683237,10,1047.16234817517
"32",7,1,17604.9277587789,176.704482424183,3.0713032237927,13,1354.22521221376,2873.48584767174,80.3876928246085,2.08182494486219,8,359.185730958967,14731.4419111072,330.811345783501,0.989478278930511,5,2946.28838222143,2426.89036149601,204.394697911894,0.342243599636107,2,1213.445180748,17604.9277587789,176.704482424183,3.0713032237927,13,1354.22521221376
"33",7,2,68070.3495974792,80.9056395003727,44.9897772578197,194,350.878090708656,32689.2803098238,90.8838108531336,17.7934902190323,80,408.616003872797,35381.0692876554,73.9034139896633,27.1962870387874,114,310.360256909258,NA,NA,NA,NA,NA,68070.3495974792,80.9056395003727,44.9897772578197,194,350.878090708656
"34",7,6,56588.7870554981,68.4953809814563,49.7883947270236,196,288.718301303562,29776.0786381558,91.6697099253363,15.9757162433998,72,413.556647752164,26812.7084173423,55.0393190140422,33.8126784836238,124,216.231519494696,NA,NA,NA,NA,NA,56588.7870554981,68.4953809814563,49.7883947270236,196,288.718301303562
"35",7,7,16909.3173692456,48.3705142267488,27.0360886407159,91,185.816674387314,15.7410415899582,4.47150218119078,1.31490745394235,2,7.87052079497912,16893.5763276556,49.357008879458,25.7211811867735,89,189.815464355681,NA,NA,NA,NA,NA,16909.3173692456,48.3705142267488,27.0360886407159,91,185.816674387314
"36",8,0,4202.00334411667,37.0070189365363,24.9492437005386,21,200.095397338889,1775.11298262067,19.3872632549197,24.6070001009025,19,93.4269990852982,2426.89036149601,204.394697911894,0.342243599636107,2,1213.445180748,2426.89036149601,204.394697911894,0.342243599636107,2,1213.445180748,4202.00334411667,37.0070189365363,24.9492437005386,21,200.095397338889
"37",8,1,135763.338933565,336.950917186893,12.9353255684346,43,3157.28695194338,7699.63803915774,57.9745593692519,11.4033297929691,29,265.504759970957,128063.700894407,914.830515523436,1.53199577546555,14,9147.40720674339,56730.1593876403,747.031475908495,0.957395782326662,8,7091.26992345503,135763.338933565,336.950917186893,12.9353255684346,43,3157.28695194338
"38",8,2,166528.113842363,92.0633015933531,87.9680291403389,391,425.90310445617,154667.846041256,90.2897820231499,85.7244022477612,381,405.952351814321,11860.2678011063,159.634397218095,2.2436268925777,10,1186.02678011063,9050.54483769071,927.910401907362,0.102525363781759,1,9050.54483769071,166528.113842363,92.0633015933531,87.9680291403389,391,425.90310445617
"39",8,6,21957.3961168701,17.3490894359751,298.008075640036,217,101.654611652176,4242.1535560368,4.87883319464417,293.002970229111,195,21.7546336207015,19486.9405176851,120.96659261891,5.15924087662217,21,843.582979087301,NA,NA,NA,NA,NA,21957.3961168701,16.16514313867,298.008075640036,216,101.654611652176
